Game,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Fable,2004,Role-Playing,Microsoft Game Studios,1.99,0.58,0.0,0.09,2.66
Fable II,2008,Role-Playing,Microsoft Game Studios,2.51,1.24,0.11,0.41,4.27
Fable III,2010,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1
Fable III,2011,Role-Playing,Microsoft Game Studios,0.1,0.17,0.0,0.05,0.32
Fable: The Journey,2012,Role-Playing,Microsoft Game Studios,0.18,0.08,0.0,0.02,0.28
Fable: The Lost Chapters,2005,Role-Playing,Microsoft Game Studios,0.01,0.05,0.0,0.01,0.07
FaceBreaker,2008,Fighting,Electronic Arts,0.28,0.04,0.0,0.04,0.36
FaceBreaker K.O. Party,2008,Fighting,Electronic Arts,0.19,0.01,0.0,0.02,0.22
Fairy Fencer F,2013,Role-Playing,Nippon Ichi Software,0.05,0.03,0.09,0.02,0.19
Fairy Fencer F: Advent Dark Force,2015,Role-Playing,Idea Factory International,0.02,0.0,0.05,0.0,0.07
Fairytale Fights,2009,Action,Playlogic Game Factory,0.25,0.05,0.0,0.03,0.34
Falcon 4.0: Allied Force,2005,Simulation,Graphsim Entertainment,0.0,0.02,0.0,0.0,0.02
Fallout 3,2008,Role-Playing,Bethesda Softworks,5.569999999999999,3.0,0.16,1.1199999999999999,9.85
Fallout 4,2015,Role-Playing,Bethesda Softworks,5.55,5.26,0.25,1.6099999999999999,12.67
Fallout: Brotherhood of Steel,2004,Role-Playing,Avalon Interactive,0.07,0.04,0.0,0.01,0.12000000000000001
Fallout: New Vegas,2010,Role-Playing,Bethesda Softworks,4.7700000000000005,2.5100000000000002,0.14,0.93,8.33
Family Feud: 2012 Edition,2011,Misc,Ubisoft,0.1,0.0,0.0,0.01,0.1
Family Guy,2006,Action,Take-Two Interactive,0.18,0.0,0.0,0.02,0.19
Family Guy: Back to the Multiverse,2012,Action,Activision,0.26,0.19,0.0,0.06,0.51
Family Party: 30 Great Games,2008,Misc,D3Publisher,0.08,0.01,0.0,0.01,0.09
Fantasia: Music Evolved,2014,Misc,Disney Interactive Studios,0.11,0.03,0.0,0.01,0.15
Fantastic 4,2005,Action,Activision,0.8,0.12,0.0,0.09000000000000001,1.01
Fantastic Four: Rise of the Silver Surfer,2007,Action,Take-Two Interactive,0.49,0.19,0.0,0.08,0.74
Fantastic Pets,2011,Simulation,THQ,0.3,0.08,0.0,0.03,0.41
Fantasy Life,2012,Role-Playing,Nintendo,0.33,0.37,0.37,0.06,1.13
Fantavision,2000,Puzzle,Sony Computer Entertainment,0.14,0.11,0.19,0.04,0.47
Far Cry,2004,Shooter,Ubisoft,0.0,0.04,0.0,0.01,0.05
Far Cry 2,2008,Action,Ubisoft,1.15,1.8299999999999998,0.03,0.47,3.45
Far Cry 3,2012,Shooter,Ubisoft,2.48,3.64,0.12000000000000001,1.07,7.3100000000000005
Far Cry 4,2014,Shooter,Ubisoft,2.08,3.31,0.11,0.81,6.3
Far Cry Instincts,2005,Shooter,Ubisoft,0.32,0.24,0.0,0.02,0.57
Far Cry Instincts Evolution,2006,Shooter,Ubisoft,0.06,0.02,0.0,0.0,0.08
Far Cry Instincts Predator,2006,Shooter,Ubisoft,0.2,0.03,0.0,0.02,0.24
Far Cry Vengeance,2006,Shooter,Ubisoft,0.06,0.01,0.0,0.01,0.08
Far Cry: Primal,2016,Action,Ubisoft,1.1099999999999999,1.69,0.06,0.44,3.3
Farming Simulator 17,2016,Simulation,Focus Home Interactive,0.08,0.8899999999999999,0.0,0.1,1.06
Farming Simulator 2013,2012,Simulation,Focus Home Interactive,0.0,0.81,0.0,0.15,0.96
Farming Simulator 2013,2013,Simulation,Focus Home Interactive,0.22,0.22,0.02,0.06,0.52
Fast Racing Neo,2016,Action,Nintendo,0.0,0.01,0.0,0.0,0.01
Fat Princess: Fistful of Cake,2010,Action,Sony Computer Entertainment,0.08,0.02,0.0,0.02,0.12
Fatal Frame,2001,Action,Wanadoo,0.07,0.06,0.0,0.02,0.14
Fatal Frame,2002,Action,Tecmo Koei,0.04,0.01,0.0,0.0,0.06
Fatal Frame II: Crimson Butterfly,2003,Action,Ubisoft,0.08,0.06,0.0,0.02,0.16
Fatal Frame II: Crimson Butterfly Director's Cut,2004,Action,Microsoft Game Studios,0.04,0.01,0.0,0.0,0.05
Fatal Frame III: The Tormented,2005,Action,Take-Two Interactive,0.04,0.03,0.0,0.01,0.08
Fatal Frame: Maiden of Black Water,2014,Action,Nintendo,0.0,0.03,0.08,0.0,0.11
Fatal Fury: Battle Archives Volume 1,2006,Fighting,Ignition Entertainment,0.02,0.01,0.0,0.0,0.04
Fatal Inertia,2007,Racing,Tecmo Koei,0.12,0.0,0.0,0.01,0.13
Fate/Extra,2010,Role-Playing,Marvelous Interactive,0.18,0.01,0.1,0.03,0.31
Fear Effect 2: Retro Helix,2001,Action,Eidos Interactive,0.1,0.07,0.0,0.01,0.18
Fear Factor: Unleashed,2004,Action,Hip Interactive,0.1,0.04,0.0,0.0,0.14
Feel the Magic XY/XX,2004,Puzzle,Sega,0.17,0.0,0.1,0.02,0.29
Ferrari Challenge Trofeo Pirelli,2008,Racing,System 3 Arcade Software,0.0,0.03,0.0,0.01,0.04
Ferrari F355 Challenge,2002,Racing,Sony Computer Entertainment,0.03,0.02,0.0,0.01,0.05
Field Commander,2006,Strategy,Sony Online Entertainment,0.14,0.0,0.0,0.01,0.16
Fight Club,2004,Fighting,Vivendi Games,0.16999999999999998,0.09000000000000001,0.0,0.02,0.29
Fight Night 2004,2004,Fighting,Electronic Arts,1.59,0.35,0.0,0.22,2.16
Fight Night Champion,2011,Fighting,Electronic Arts,0.8500000000000001,0.8,0.0,0.25,1.8900000000000001
Fight Night Round 2,2005,Fighting,Electronic Arts,1.27,0.22,0.0,0.13999999999999999,1.64
Fight Night Round 3,2006,Fighting,Electronic Arts,3.93,1.08,0.02,0.51,5.55
Fight Night Round 4,2009,Fighting,Electronic Arts,1.87,0.73,0.0,0.33,2.92
Fighter Maker 2,2002,Fighting,Enterbrain,0.03,0.03,0.0,0.01,0.07
Fighter Within,2013,Fighting,Ubisoft,0.11,0.07,0.0,0.02,0.19
Fighters Uncaged,2010,Fighting,Ubisoft,0.31,0.23,0.0,0.06,0.6
Fighting Fantasy: The Warlock of Firetop Mountain,2009,Role-Playing,Aspyr,0.08,0.0,0.0,0.01,0.09
Final Fantasy Anniversary Edition,2007,Role-Playing,Square Enix,0.39,0.02,0.13,0.04,0.58
Final Fantasy Anthology,1999,Role-Playing,Square EA,0.45,0.3,0.0,0.05,0.8
Final Fantasy Chronicles,2001,Role-Playing,Square,0.29,0.2,0.0,0.03,0.52
Final Fantasy Crystal Chronicles: Echoes of Time,2009,Role-Playing,Square Enix,0.25,0.12,0.32,0.04,0.72
Final Fantasy Crystal Chronicles: Ring of Fates,2007,Role-Playing,Square Enix,0.22,0.01,0.42,0.02,0.66
Final Fantasy Crystal Chronicles: The Crystal Bearers,2009,Action,Square Enix,0.21,0.07,0.08,0.03,0.39
Final Fantasy Explorers,2014,Role-Playing,Square Enix,0.16,0.07,0.28,0.02,0.54
Final Fantasy Fables: Chocobo Tales,2006,Adventure,Ubisoft,0.1,0.01,0.12,0.01,0.24
Final Fantasy Fables: Chocobo's Dungeon,2007,Role-Playing,Square Enix,0.09,0.0,0.11,0.01,0.21
Final Fantasy II Anniversary Edition,2007,Role-Playing,Square Enix,0.36,0.02,0.07,0.04,0.5
Final Fantasy III,2006,Role-Playing,Square Enix,0.89,0.04,1.07,0.09,2.08
Final Fantasy IV,2007,Simulation,Square Enix,0.51,0.04,0.62,0.05,1.21
Final Fantasy IV Advance,2005,Role-Playing,Nintendo,0.27,0.1,0.22,0.01,0.61
Final Fantasy IV: The Complete Collection,2011,Role-Playing,Square Enix,0.13,0.09,0.27,0.06,0.56
Final Fantasy IX,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3
Final Fantasy Tactics,1997,Role-Playing,SquareSoft,0.93,0.12,1.34,0.06,2.45
Final Fantasy Tactics A2: Grimoire of the Rift,2007,Role-Playing,Square Enix,0.38,0.03,0.3,0.04,0.75
Final Fantasy Tactics Advance,2003,Role-Playing,SquareSoft,0.82,0.37,0.89,0.05,2.13
Final Fantasy Tactics: The War of the Lions,2007,Role-Playing,Square Enix,0.45,0.24,0.3,0.16,1.16
Final Fantasy V Advance,2006,Role-Playing,Nintendo,0.0,0.0,0.26,0.01,0.26
Final Fantasy VI Advance,2006,Role-Playing,Nintendo,0.0,0.0,0.28,0.01,0.28
Final Fantasy VII,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72
Final Fantasy VIII,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86
Final Fantasy X,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05
Final Fantasy X / X-2 HD Remaster,2013,Role-Playing,Square Enix,0.59,0.6,0.6000000000000001,0.28,2.0700000000000003
Final Fantasy X-2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29
Final Fantasy XI,2006,Role-Playing,Square Enix,0.17,0.01,0.0,0.01,0.19
Final Fantasy XI: Chains of Promathia,2004,Role-Playing,Square Enix,0.12,0.09,0.0,0.03,0.25
Final Fantasy XI: Treasures of Aht Urhgan,2006,Role-Playing,Square Enix,0.06,0.05,0.1,0.02,0.23
Final Fantasy XI: Wings of the Goddess,2007,Role-Playing,Square Enix,0.26,0.0,0.02,0.02,0.3
Final Fantasy XII,2006,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95
Final Fantasy XII: Revenant Wings,2007,Role-Playing,Square Enix,0.33,0.41,0.54,0.1,1.37
Final Fantasy XIII,2009,Role-Playing,Square Enix,1.74,1.21,1.87,0.51,5.33
Final Fantasy XIII,2010,Role-Playing,Square Enix,1.28,0.67,0.01,0.21,2.16
Final Fantasy XIII-2,2011,Role-Playing,Square Enix,1.1400000000000001,1.02,0.91,0.29000000000000004,3.36
Final Fantasy XIV: Heavensward,2015,Action,Square Enix,0.01,0.06999999999999999,0.06,0.01,0.15
Final Fantasy: Crystal Chronicles,2003,Role-Playing,Nintendo,0.72,0.38,0.36,0.04,1.49
Final Fantasy: The 4 Heroes of Light,2009,Role-Playing,Square Enix,0.22,0.1,0.23,0.03,0.58
Final Fight One,2001,Fighting,Ubisoft,0.09,0.03,0.08,0.0,0.21
Final Fight: Streetwise,2006,Action,Capcom,0.04,0.02,0.0,0.01,0.07
Finding Nemo,2003,Action,THQ,0.69,0.18,0.0,0.02,0.89
Fire Emblem,2003,Strategy,Nintendo,0.49,0.18,0.29,0.01,0.97
Fire Emblem: Awakening,2012,Role-Playing,Nintendo,0.9,0.45,0.54,0.13,2.01
Fire Emblem: Path of Radiance,2005,Action,Nintendo,0.29,0.08,0.16,0.01,0.54
Fire Emblem: Radiant Dawn,2007,Strategy,Nintendo,0.27,0.03,0.17,0.03,0.49
Fire Emblem: Shadow Dragon,2008,Role-Playing,Nintendo,0.29,0.02,0.27,0.03,0.61
Fire Emblem: The Sacred Stones,2004,Strategy,Nintendo,0.42,0.16,0.3,0.02,0.89
Fire Pro Wrestling Returns,2005,Sports,505 Games,0.04,0.03,0.0,0.01,0.09
Fish Tycoon,2007,Simulation,Majesco Entertainment,0.24,0.0,0.0,0.02,0.26
Fisherman's Challenge,2003,Sports,Konami Digital Entertainment,0.02,0.02,0.0,0.01,0.04
Fishing Master,2007,Misc,Konami Digital Entertainment,0.29,0.0,0.0,0.02,0.31
Fishing Resort,2011,Sports,Namco Bandai Games,0.14,0.0,0.25,0.01,0.39
Fist of the North Star: Ken's Rage,2010,Action,Ubisoft Annecy,0.13,0.05,0.6100000000000001,0.02,0.8200000000000001
Fist of the North Star: Ken's Rage 2,2012,Fighting,Tecmo Koei,0.03,0.01,0.32,0.0,0.36
Fist of the North Star: Ken's Rage 2,2013,Fighting,Tecmo Koei,0.0,0.0,0.02,0.0,0.02
Flash Focus: Vision Training in Minutes a Day,2007,Misc,Nintendo,0.86,1.56,1.05,0.35,3.83
FlatOut,2004,Racing,Empire Interactive,0.31,0.19,0.0,0.060000000000000005,0.55
FlatOut 2,2006,Racing,Empire Interactive,0.11,0.06999999999999999,0.0,0.02,0.2
FlatOut: Head On,2008,Racing,Empire Interactive,0.13,0.1,0.0,0.06,0.29
FlatOut: Ultimate Carnage,2007,Racing,Empire Interactive,0.07,0.02,0.0,0.01,0.11
FlatOut: Ultimate Carnage,2008,Racing,Empire Interactive,0.0,0.01,0.0,0.0,0.01
FlingSmash,2010,Action,Nintendo,0.37,0.01,0.07,0.02,0.47
Flipnic: Ultimate Pinball,2003,Misc,Ubisoft,0.03,0.02,0.0,0.01,0.06
"Flower, Sun, and Rain",2008,Adventure,Rising Star Games,0.06,0.0,0.0,0.0,0.07
Folklore,2007,Role-Playing,Sony Computer Entertainment,0.2,0.04,0.05,0.03,0.32
Food Network: Cook or Be Cooked,2009,Misc,Namco Bandai Games,0.41,0.0,0.0,0.03,0.44
Football Manager 2010,2009,Sports,Sega,0.0,0.06,0.0,0.01,0.07
Football Manager 2011,2010,Sports,Sega,0.0,1.01,0.0,0.25,1.26
Football Manager 2012,2011,Sports,Sega,0.02,1.16,0.0,0.33,1.51
Football Manager 2013,2012,Sports,Sega,0.0,0.95,0.0,0.21,1.15
Football Manager 2014,2013,Sports,Sega,0.0,0.6,0.0,0.03,0.64
Football Manager 2015,2014,Simulation,Sega,0.0,0.44,0.0,0.03,0.46
Football Manager 2016,2015,Simulation,Sega,0.0,0.33,0.0,0.02,0.35
Football Manager 2017,2016,Simulation,Sega,0.0,0.09,0.0,0.01,0.09
Football Manager Handheld 2010,2009,Sports,Sega,0.0,0.26,0.0,0.09,0.35
Football Manager Handheld 2011,2010,Sports,Sega,0.0,0.27,0.0,0.14,0.41
Football Manager Live,2009,Sports,Sega,0.0,0.01,0.0,0.0,0.01
Ford Mustang: The Legend Lives,2005,Racing,Take-Two Interactive,0.14,0.11,0.0,0.04,0.29
Ford Racing,2001,Racing,Empire Interactive,0.48,0.33,0.0,0.06,0.86
Ford Racing 2,2003,Racing,Empire Interactive,0.49,0.38,0.0,0.13,1.0
Ford Racing 3,2004,Racing,Take-Two Interactive,0.13,0.1,0.0,0.03,0.26
Ford Racing Off Road,2008,Racing,Xplosiv,0.06,0.39,0.0,0.01,0.47
Forever Kingdom,2001,Role-Playing,From Software,0.02,0.02,0.04,0.01,0.09
Forgotten Realms: Demon Stone,2004,Action,Atari,0.16,0.1,0.0,0.03,0.29000000000000004
Formula One 2001,2001,Racing,Sony Computer Entertainment,0.13,0.1,0.0,0.03,0.26
Fortune Street,2011,Misc,Nintendo,0.25,0.03,0.17,0.02,0.48
Forza Horizon,2012,Racing,Microsoft Game Studios,0.82,0.93,0.04,0.18,1.96
Forza Horizon 2,2014,Racing,Microsoft Game Studios,0.5,0.78,0.01,0.11,1.4
Forza Horizon 3,2016,Racing,Microsoft Game Studios,0.42,0.58,0.0,0.08,1.08
Forza Motorsport,2005,Racing,Microsoft Game Studios,0.52,0.51,0.0,0.02,1.05
Forza Motorsport 2,2007,Racing,Microsoft Game Studios,2.35,1.27,0.03,0.41,4.05
Forza Motorsport 3,2009,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49
Forza Motorsport 4,2011,Racing,Microsoft Game Studios,2.08,1.97,0.06,0.46,4.57
Forza Motorsport 5,2013,Racing,Microsoft Game Studios,1.21,0.79,0.01,0.19,2.2
Forza Motorsport 6,2015,Racing,Microsoft Game Studios,0.73,0.9,0.03,0.14,1.8
Fossil Fighters,2008,Role-Playing,Nintendo,0.83,0.0,0.0,0.06,0.89
Fossil Fighters: Champions,2010,Role-Playing,Nintendo,0.31,0.0,0.34,0.02,0.67
Fossil Fighters: Frontier,2014,Role-Playing,Nintendo,0.08,0.04,0.23,0.01,0.36
Fracture,2008,Shooter,LucasArts,0.26,0.18000000000000002,0.0,0.06,0.49
Fragile Dreams: Farewell Ruins of the Moon,2009,Role-Playing,Rising Star Games,0.16,0.12,0.06,0.03,0.36
Freedom Fighters,2003,Shooter,Electronic Arts,0.52,0.28,0.0,0.08,0.88
Freedom Wars,2014,Role-Playing,Sony Computer Entertainment,0.15,0.1,0.32,0.08,0.65
Freedom Wings,2006,Simulation,Natsume,0.02,0.0,0.0,0.0,0.02
Freekstyle,2002,Racing,Electronic Arts,0.52,0.41,0.0,0.14,1.06
Freelancer,2003,Simulation,Microsoft Game Studios,0.02,0.02,0.0,0.01,0.05
Freestyle Metal X,2003,Racing,Midway Games,0.04,0.03,0.0,0.01,0.09
Frequency,2001,Misc,Sony Computer Entertainment,0.09,0.07,0.0,0.02,0.19
Frogger 2: Swampy's Revenge,1999,Action,Hasbro Interactive,0.8,0.54,0.0,0.09,1.43
Frogger 3D,2011,Action,Konami Digital Entertainment,0.16,0.03,0.0,0.01,0.21
Frogger Beyond,2002,Platform,Konami Digital Entertainment,0.1,0.03,0.0,0.0,0.13
Frogger's Adventures: The Rescue,2003,Platform,Konami Digital Entertainment,0.16,0.12,0.0,0.04,0.32
Frogger: Ancient Shadow,2005,Platform,Konami Digital Entertainment,0.05,0.04,0.0,0.01,0.1
Frogger: Helmet Chaos,2005,Platform,Konami Digital Entertainment,0.1,0.0,0.0,0.01,0.11
Frogger: The Great Quest,2001,Platform,Konami Digital Entertainment,0.6,0.47,0.0,0.16,1.23
From Russia With Love,2005,Action,Electronic Arts,0.66,0.09,0.0,0.08,0.83
From Russia With Love,2006,Action,Electronic Arts,0.07,0.0,0.0,0.01,0.08
From The Abyss,2008,Role-Playing,Nobilis,0.06,0.0,0.0,0.0,0.06
Front Mission,2007,Strategy,Square Enix,0.01,0.0,0.03,0.0,0.04
Front Mission 4,2003,Strategy,Square Enix,0.14,0.11,0.25,0.04,0.54
Front Mission Evolved,2010,Shooter,Square Enix,0.24,0.13,0.13,0.05,0.54
Frontlines: Fuel of War,2008,Shooter,THQ,0.34,0.16999999999999998,0.01,0.05,0.5800000000000001
Fuel,2009,Racing,Codemasters,0.16999999999999998,0.31,0.0,0.08,0.57
Fugitive Hunter: War on Terror,2003,Shooter,Play It,0.07,0.06,0.0,0.02,0.15
Full Auto,2006,Shooter,Sega,0.19,0.01,0.0,0.02,0.22
Full Auto 2: Battlelines,2006,Racing,Sega,0.14,0.02,0.0,0.02,0.18
Full Spectrum Warrior,2004,Strategy,THQ,0.54,0.16,0.0,0.03,0.73
Full Spectrum Warrior,2005,Strategy,THQ,0.15,0.11,0.0,0.04,0.3
Full Spectrum Warrior: Ten Hammers,2006,Strategy,THQ,0.03,0.02,0.0,0.01,0.07
Fullmetal Alchemist 2: Curse of the Crimson Elixir,2004,Role-Playing,Square Enix,0.13,0.1,0.0,0.03,0.27
Fullmetal Alchemist and the Broken Angel,2003,Role-Playing,Square Enix,0.15,0.12,0.26,0.04,0.56
Fullmetal Alchemist: Dual Sympathy,2005,Role-Playing,Empire Interactive,0.05,0.0,0.04,0.0,0.09
Fullmetal Alchemist: Trading Card Game,2007,Misc,Destineer,0.01,0.0,0.0,0.0,0.01
FunkMaster Flex's Digital Hitz Factory,2003,Misc,Jester Interactive,0.02,0.01,0.0,0.0,0.04
Fur Fighters: Viggo's Revenge,2001,Action,Acclaim Entertainment,0.07,0.05,0.0,0.02,0.14
Furu Furu Park,2007,Misc,Taito,0.05,0.0,0.0,0.0,0.05
Futurama,2003,Platform,SCi,0.07,0.04,0.0,0.01,0.12000000000000001
Future Tactics: The Uprising,2004,Strategy,Crave Entertainment,0.03,0.03,0.0,0.01,0.07
Fuzion Frenzy,2001,Misc,Microsoft Game Studios,0.93,0.24,0.0,0.04,1.21
Fuzion Frenzy 2,2007,Misc,Microsoft Game Studios,0.14,0.01,0.0,0.01,0.17
G-Force,2009,Action,Disney Interactive Studios,0.43,0.31,0.0,0.09,0.8300000000000001
G.I. Joe: The Rise of Cobra,2009,Action,Electronic Arts,0.5,0.13,0.0,0.09,0.73
G1 Jockey 3,2002,Sports,THQ,0.02,0.01,0.07,0.0,0.1
GRID,2008,Racing,Codemasters,0.64,1.0,0.04,0.29000000000000004,1.9700000000000002
GRID 2,2013,Racing,Codemasters,0.15000000000000002,0.44,0.01,0.12,0.7
GRID Autosport,2014,Racing,Codemasters,0.08,0.16,0.01,0.04,0.29
GT Advance 2: Rally Racing,2001,Racing,THQ,0.08,0.03,0.0,0.0,0.11
GT Legends,2005,Racing,Atari,0.0,0.02,0.0,0.0,0.02
GT Pro Series,2006,Racing,Ubisoft,0.46,0.01,0.02,0.04,0.52
GTR Evolution,2008,Racing,Atari,0.0,0.02,0.0,0.0,0.03
Gabrielle's Ghostly Groove 3D,2011,Adventure,Funbox Media,0.08,0.02,0.0,0.01,0.11
Gadget Racers,2000,Racing,Midas Interactive Entertainment,0.04,0.03,0.0,0.01,0.08
Galactic Wrestling: Featuring Ultimate Muscle,2004,Fighting,Namco Bandai Games,0.03,0.02,0.17,0.01,0.22
Galerians: Ash,2002,Adventure,Sammy Corporation,0.03,0.03,0.0,0.01,0.07
Galleon: Islands of Mystery,2004,Action,SCi,0.02,0.01,0.0,0.0,0.03
Gallop Racer 2001,2001,Sports,Tecmo Koei,0.05,0.04,0.06,0.01,0.17
Gallop Racer 2003: A New Breed,2002,Sports,Zoo Digital Publishing,0.04,0.03,0.12,0.01,0.21
Gallop Racer 2004,2004,Sports,Zoo Digital Publishing,0.03,0.02,0.0,0.01,0.06
Gallop Racer 2006,2005,Sports,Tecmo Koei,0.02,0.02,0.06,0.01,0.1
Game Party,2007,Misc,Midway Games,1.47,0.77,0.0,0.24,2.48
Game Party 2,2008,Misc,Midway Games,1.28,0.43,0.0,0.17,1.88
Game Party in Motion,2010,Misc,Warner Bros. Interactive Entertainment,0.36,0.17,0.0,0.05,0.58
Game Party: Champions,2012,Action,Warner Bros. Interactive Entertainment,0.09,0.03,0.0,0.01,0.13
Game of Thrones,2012,Role-Playing,Focus Home Interactive,0.25,0.25,0.0,0.06,0.57
Gangs of London,2006,Adventure,Sony Computer Entertainment,0.3,0.43,0.0,0.22,0.95
Gardening Mama,2009,Puzzle,505 Games,0.79,0.42,0.01,0.13,1.35
Gauntlet: Dark Legacy,2001,Action,Midway Games,0.56,0.44,0.0,0.15,1.15
Gauntlet: Dark Legacy,2002,Action,Midway Games,0.27,0.08,0.0,0.01,0.35
Gauntlet: Seven Sorrows,2005,Role-Playing,Midway Games,0.34,0.19,0.0,0.060000000000000005,0.5800000000000001
Gears of War,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09
Gears of War,2007,Shooter,Microsoft Game Studios,0.0,0.01,0.0,0.0,0.02
Gears of War 2,2008,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75
Gears of War 3,2011,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21
Gears of War 4,2016,Shooter,Microsoft Game Studios,0.78,0.44,0.0,0.12,1.35
Gears of War: Judgment,2013,Shooter,Microsoft Game Studios,0.92,0.5,0.03,0.12,1.57
Gears of War: Ultimate Edition,2015,Shooter,Microsoft Game Studios,2.61,0.33,0.0,0.34,3.28
Geist,2005,Adventure,Nintendo,0.11,0.03,0.0,0.0,0.15
Gekido Advance: Kintaro's Revenge,2002,Action,Zoo Digital Publishing,0.02,0.01,0.0,0.0,0.03
Generation of Chaos,2005,Role-Playing,Midas Interactive Entertainment,0.05,0.0,0.0,0.0,0.06
Genji: Dawn of the Samurai,2005,Action,Sony Computer Entertainment,0.11,0.09,0.0,0.03,0.23
Genji: Days of the Blade,2006,Action,Sony Computer Entertainment,0.18,0.37,0.06,0.14,0.75
Genma Onimusha,2002,Action,Capcom,0.14,0.04,0.05,0.01,0.24
Geometry Wars: Galaxies,2007,Shooter,Vivendi Games,0.24,0.0,0.0,0.02,0.26
George of the Jungle and the Search for the Secret,2008,Platform,Ignition Entertainment,0.02,0.0,0.0,0.0,0.02
Get Fit with Mel B,2010,Sports,Black Bean Games,0.15,0.16,0.0,0.07,0.38
Get On Da Mic,2004,Misc,Eidos Interactive,0.07,0.06,0.0,0.02,0.15
Ghost Rider,2007,Action,Take-Two Interactive,0.22,0.0,0.0,0.02,0.24
Ghost Squad,2007,Shooter,Sega,0.42,0.21,0.08,0.07,0.77
Ghost Trick: Phantom Detective,2010,Adventure,Capcom,0.17,0.07,0.12,0.02,0.38
Ghost in the Shell: Stand Alone Complex,2005,Adventure,Atari,0.06,0.0,0.0,0.01,0.07
Ghostbusters: The Video Game,2009,Action,Atari,1.5699999999999998,0.51,0.0,0.43,2.5
Ghostbusters: The Video Game,2009,Action,Sony Computer Entertainment,0.34,0.36,0.0,0.14,0.84
Ghosthunter,2003,Action,Sony Computer Entertainment,0.04,0.03,0.0,0.01,0.09
Giants: Citizen Kabuto,2001,Shooter,Interplay,0.03,0.02,0.0,0.01,0.06
Gitaroo Man,2001,Misc,THQ,0.02,0.02,0.0,0.01,0.05
Gladiator Begins,2010,Action,PQube,0.05,0.01,0.05,0.01,0.12
Gladiator: Sword of Vengeance,2003,Action,Acclaim Entertainment,0.1,0.060000000000000005,0.0,0.02,0.16999999999999998
Gladius,2003,Strategy,Activision,0.26,0.12,0.0,0.03,0.41000000000000003
Glory Days 2,2007,Strategy,Ghostlight,0.08,0.0,0.0,0.01,0.09
Glory of Heracles,2008,Role-Playing,Nintendo,0.19,0.0,0.08,0.01,0.29
Go Vacation,2011,Misc,Namco Bandai Games,0.42,0.65,0.33,0.14,1.53
Goat Simulator,2016,Simulation,Koch Media,0.0,0.01,0.0,0.0,0.01
Goblin Commander: Unleash the Horde,2003,Strategy,Jaleco,0.09,0.07,0.0,0.02,0.19
God Eater 2: Rage Burst,2015,Role-Playing,Namco Bandai Games,0.0,0.01,0.09,0.0,0.11
God Eater Resurrection,2015,Action,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08
God Hand,2006,Action,Capcom,0.0,0.0,0.07,0.0,0.07
God of War,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45
God of War Collection,2009,Action,Sony Computer Entertainment,1.7,0.44,0.06,0.4,2.6
God of War Collection,2014,Action,Sony Computer Entertainment,0.08,0.06,0.01,0.05,0.2
God of War II,2007,Action,Sony Computer Entertainment,2.32,0.04,0.04,1.67,4.07
God of War III,2010,Action,Sony Computer Entertainment,2.74,1.33,0.12,0.61,4.8
God of War: Ascension,2013,Action,Sony Computer Entertainment,1.23,0.63,0.04,0.35,2.25
God of War: Chains of Olympus,2008,Action,Sony Computer Entertainment,1.48,1.0,0.04,0.66,3.18
God of War: Ghost of Sparta,2010,Action,Sony Computer Entertainment,0.41,0.35,0.03,0.21,1.0
God of War: Origins Collection,2011,Action,Sony Computer Entertainment,0.39,0.08,0.02,0.06,0.55
Godai: Elemental Force,2002,Action,3DO,0.04,0.03,0.0,0.01,0.07
Gods Eater Burst,2010,Action,Namco Bandai Games,0.03,0.0,0.62,0.0,0.66
Godzilla Unleashed,2007,Fighting,Atari,0.14,0.0,0.0,0.01,0.16
Godzilla Unleashed: Double Smash,2007,Action,Atari,0.11,0.0,0.0,0.01,0.12
Godzilla: Destroy All Monsters Melee,2002,Fighting,Atari,0.55,0.14,0.0,0.02,0.71
Godzilla: Save the Earth,2004,Fighting,Atari,0.33,0.21,0.0,0.06,0.61
Golden Axe: Beast Rider,2008,Action,Sega,0.32,0.25,0.0,0.09,0.65
Golden Sun,2001,Role-Playing,Nintendo,0.93,0.38,0.4,0.06,1.76
Golden Sun: Dark Dawn,2010,Role-Playing,Nintendo,0.51,0.09,0.13,0.05,0.78
Golden Sun: The Lost Age,2002,Role-Playing,Nintendo,0.61,0.27,0.27,0.07,1.22
